sku,track_id,audio,lyrics,cover
HAWK-BAP-01,warning_shots,assets/tracks/HAWK-BAP-01/warning_shots.mp3,assets/tracks/HAWK-BAP-01/warning_shots.md,assets/tracks/HAWK-BAP-01/cover.png
HAWK-BAP-02,behold_a_pale_horse,assets/tracks/HAWK-BAP-02/behold_a_pale_horse.mp3,assets/tracks/HAWK-BAP-02/behold_a_pale_horse.md,assets/tracks/HAWK-BAP-02/cover.png
HAWK-BAP-03,kamikaze,assets/tracks/HAWK-BAP-03/kamikaze.mp3,assets/tracks/HAWK-BAP-03/kamikaze.md,assets/tracks/HAWK-BAP-03/cover.png
HAWK-BAP-04,whistle_blower,assets/tracks/HAWK-BAP-04/whistle_blower.mp3,,assets/tracks/HAWK-BAP-04/cover.png
HAWK-BAP-05,scripture,assets/tracks/HAWK-BAP-05/scripture.mp3,assets/tracks/HAWK-BAP-05/scripture.md,assets/tracks/HAWK-BAP-05/cover.png
HAWK-BAP-06,superstitious,assets/tracks/HAWK-BAP-06/superstitious.mp3,,assets/tracks/HAWK-BAP-06/cover.png
HAWK-BAP-07,menace_to_society,assets/tracks/HAWK-BAP-07/menace_to_society.mp3,assets/tracks/HAWK-BAP-07/menace_to_society.md,assets/tracks/HAWK-BAP-07/cover.png
HAWK-BAP-08,semi-automatic,assets/tracks/HAWK-BAP-08/semi-automatic.mp3,assets/tracks/HAWK-BAP-08/semi-automatic.md,assets/tracks/HAWK-BAP-08/cover.png
HAWK-BAP-09,reverse_this_curse,assets/tracks/HAWK-BAP-09/reverse_this_curse.mp3,assets/tracks/HAWK-BAP-09/reverse_this_curse.md,assets/tracks/HAWK-BAP-09/cover.png
HAWK-BAP-10,kt,assets/tracks/HAWK-BAP-10/kt.mp3,assets/tracks/HAWK-BAP-10/kt.md,assets/tracks/HAWK-BAP-10/cover.png
HAWK-BAP-11,The Story Celebrated Throughout Time,assets/tracks/HAWK-BAP-11/The Story Celebrated Throughout Time.mp3,,assets/tracks/HAWK-BAP-11/cover.png
HAWK-BAP-11,the_story_celebrated_throughout_time,assets/tracks/HAWK-BAP-11/the_story_celebrated_throughout_time.mp3,assets/tracks/HAWK-BAP-11/the_story_celebrated_throughout_time.md,assets/tracks/HAWK-BAP-11/cover.png
HAWK-FD-01,swordfish,assets/tracks/HAWK-FD-01/swordfish.mp3,assets/tracks/HAWK-FD-01/swordfish.md,assets/tracks/HAWK-FD-01/cover.png
HAWK-FD-02,mic_check,assets/tracks/HAWK-FD-02/mic_check.mp3,assets/tracks/HAWK-FD-02/mic_check.md,assets/tracks/HAWK-FD-02/cover.png
HAWK-FD-03,shakur,assets/tracks/HAWK-FD-03/shakur.mp3,assets/tracks/HAWK-FD-03/shakur.md,assets/tracks/HAWK-FD-03/cover.png
HAWK-FD-04,last_one_left,assets/tracks/HAWK-FD-04/last_one_left.mp3,assets/tracks/HAWK-FD-04/last_one_left.md,assets/tracks/HAWK-FD-04/cover.png
HAWK-FD-05,full_disclosure,assets/tracks/HAWK-FD-05/full_disclosure.mp3,assets/tracks/HAWK-FD-05/full_disclosure.md,assets/tracks/HAWK-FD-05/cover.png
HAWK-FD-06,lifted,assets/tracks/HAWK-FD-06/lifted.mp3,assets/tracks/HAWK-FD-06/lifted.md,assets/tracks/HAWK-FD-06/cover.png
HAWK-FD-07,fuck_society,assets/tracks/HAWK-FD-07/fuck_society.mp3,assets/tracks/HAWK-FD-07/fuck_society.md,assets/tracks/HAWK-FD-07/cover.png
HAWK-FD-08,ashes,assets/tracks/HAWK-FD-08/ashes.mp3,assets/tracks/HAWK-FD-08/ashes.md,assets/tracks/HAWK-FD-08/cover.png
HAWK-FD-09,haunted,assets/tracks/HAWK-FD-09/haunted.mp3,assets/tracks/HAWK-FD-09/haunted.md,assets/tracks/HAWK-FD-09/cover.png
